year,sex,age_group,percentage
1991,Varones,18-24,4.1
1991,Mujeres,18-24,3.3
1991,Varones,25-34,7.1
1991,Mujeres,25-34,5.9
1991,Varones,35-44,6.1
1991,Mujeres,35-44,5.7
1991,Varones,45-59,7.1
1991,Mujeres,45-59,9.5
1991,Varones,60-74,9
1991,Mujeres,60-74,22.7
1991,Varones,75+,12.4
1991,Mujeres,75+,28.7
2001,Varones,18-24,3.8
2001,Varones,25-34,9
2001,Varones,35-44,9
2001,Varones,45-59,9.4
2001,Varones,60-74,11.2
2001,Varones,75+,14.6
2001,Mujeres,18-24,3.6
2001,Mujeres,25-34,7.9
2001,Mujeres,35-44,7.5
2001,Mujeres,45-59,10.2
2001,Mujeres,60-74,25
2001,Mujeres,75+,33.8
2010,Varones,18-24,6.3
2010,Varones,25-34,13.5
2010,Varones,35-44,11.9
2010,Varones,45-59,13.9
2010,Varones,60-74,15.8
2010,Varones,75+,18.3
2010,Mujeres,18-24,5.7
2010,Mujeres,25-34,11.8
2010,Mujeres,35-44,9.8
2010,Mujeres,45-59,12.5
2010,Mujeres,60-74,27.3
2010,Mujeres,75+,40
2022,Varones,18-24,8.9
2022,Varones,25-34,24
2022,Varones,35-44,20.3
2022,Varones,45-59,19.1
2022,Varones,60-74,22.7
2022,Varones,75+,23.1
2022,Mujeres,18-24,10.4
2022,Mujeres,25-34,22.7
2022,Mujeres,35-44,16.6
2022,Mujeres,45-59,15.5
2022,Mujeres,60-74,31.2
2022,Mujeres,75+,45.1
