anio,cod_comuna,comuna,total_hogares,hogares_hac,hogares_hac_critico,prop_hac,prop_hac_critico
1991,2007,Comuna 1,67265,5081,2238,0.07553705493198543,0.03327138928120122
2001,2007,Comuna 1,73493,6231,5396,0.08478358483120842,0.07342195855387589
2010,2007,Comuna 1,84468,7313,2952,0.08657716531704314,0.034948146043472086
2022,2007,Comuna 1,106509,6291,2165,0.0590654310903304,0.020326920729703594
1991,2014,Comuna 2,75249,2015,527,0.026777764488564632,0.007003415327778442
2001,2014,Comuna 2,71142,1585,1284,0.022279384892187455,0.0180484102218099
2010,2014,Comuna 2,73156,1081,326,0.014776641697195034,0.004456230521078244
2022,2014,Comuna 2,83818,1527,477,0.018218043856928105,0.005690901715621943
1991,2021,Comuna 3,69992,4571,1669,0.0653074637101383,0.02384558235226883
2001,2021,Comuna 3,77175,4921,4072,0.0637641723356009,0.05276320051830256
2010,2021,Comuna 3,80489,4736,1717,0.05884033843133844,0.021332107492949347
2022,2021,Comuna 3,92555,4290,1378,0.04635081843228351,0.014888444708551671
1991,2028,Comuna 4,58110,6458,2487,0.11113405610049905,0.04279814145585958
2001,2028,Comuna 4,66979,6327,4717,0.09446244345242538,0.07042505860045686
2010,2028,Comuna 4,76455,7309,2734,0.09559871820024851,0.035759597148649534
2022,2028,Comuna 4,91186,5748,1697,0.06303599236724935,0.018610312986642688
1991,2035,Comuna 5,66957,3237,1028,0.048344459877234645,0.01535313708798184
2001,2035,Comuna 5,70260,2962,2352,0.042157699971534304,0.033475661827497866
2010,2035,Comuna 5,76846,2488,822,0.03237644119407646,0.01069671811154777
2022,2035,Comuna 5,93208,2583,785,0.027712213543901812,0.008422023860612823
1991,2042,Comuna 6,66482,1969,443,0.029617039198580067,0.006663457778045185
2001,2042,Comuna 6,68464,1392,980,0.020331853236737557,0.014314092077588221
2010,2042,Comuna 6,75189,1238,386,0.01646517442711035,0.005133729667903549
2022,2042,Comuna 6,95464,1963,617,0.02056272521578815,0.006463169362272689
1991,2049,Comuna 7,67190,3356,1152,0.04994790891501712,0.01714540854293794
2001,2049,Comuna 7,73942,4758,3543,0.064347732006167,0.04791593411051905
2010,2049,Comuna 7,81483,5302,2030,0.06506878735441748,0.024913172072702282
2022,2049,Comuna 7,90970,2919,876,0.03208750137407937,0.009629548202704188
1991,2056,Comuna 8,43890,5089,2020,0.11594896331738437,0.04602415128730918
2001,2056,Comuna 8,48307,5333,3603,0.11039807895336079,0.07458546380441758
2010,2056,Comuna 8,58204,7509,2952,0.12901175176963783,0.050718163700089344
2022,2056,Comuna 8,70622,6126,2066,0.08674350768882218,0.029254340007363145
1991,2063,Comuna 9,51279,2754,743,0.05370619551863336,0.014489362117045964
2001,2063,Comuna 9,51835,2143,1338,0.04134272209896788,0.025812674833606636
2010,2063,Comuna 9,56495,2437,808,0.04313656075758917,0.014302150632799363
2022,2063,Comuna 9,66753,2459,770,0.03683729570206583,0.011535062094587508
1991,2070,Comuna 10,56971,1862,322,0.0326832950097418,0.005651998385143318
2001,2070,Comuna 10,58784,1531,981,0.02604450190528035,0.016688214480130647
2010,2070,Comuna 10,61453,1668,540,0.02714269441687143,0.008787203228483557
2022,2070,Comuna 10,73964,1586,440,0.021442864096046725,0.00594883997620464
1991,2077,Comuna 11,67302,2004,442,0.029776232504234643,0.006567412558319218
2001,2077,Comuna 11,68173,1437,879,0.021078726181919527,0.012893667581007144
2010,2077,Comuna 11,71460,1304,388,0.018247970892807164,0.0054296109711726845
2022,2077,Comuna 11,87910,1691,484,0.019235581845068822,0.0055056307587305195
1991,2084,Comuna 12,67141,2638,677,0.0392904484592127,0.010083257622019332
2001,2084,Comuna 12,70179,1405,849,0.020020233973125863,0.012097636044970718
2010,2084,Comuna 12,78547,1277,316,0.01625778196493819,0.004023068990540696
2022,2084,Comuna 12,108085,1935,509,0.017902576675764444,0.004709256603599019
1991,2091,Comuna 13,88310,2208,708,0.025002830936473784,0.008017212093760617
2001,2091,Comuna 13,92639,1570,1158,0.01694750591003789,0.012500134932371895
2010,2091,Comuna 13,100506,1386,395,0.013790221479314668,0.003930113625057211
2022,2091,Comuna 13,127241,1746,508,0.013721992125179777,0.003992423825653681
1991,2098,Comuna 14,92065,2841,790,0.030858632487916145,0.008580893933633846
2001,2098,Comuna 14,94062,2072,1589,0.022028024069230934,0.016893113053092643
2010,2098,Comuna 14,102918,1682,494,0.016343108105482035,0.004799937814570824
2022,2098,Comuna 14,127733,2081,660,0.016291796168570377,0.005167028097672489
1991,2105,Comuna 15,64893,3576,1099,0.05510609773010956,0.016935570862804925
2001,2105,Comuna 15,66470,2388,1652,0.035925981645855275,0.02485331728599368
2010,2105,Comuna 15,72465,2318,779,0.03198785620644449,0.010750017249706754
2022,2105,Comuna 15,90717,2177,634,0.023997707155218977,0.006988767265231434
