year,comuna,ratio
1991,1,0.2514829406080428
2001,1,0.3408760017960894
2010,1,0.42515508831746934
2022,1,0.4833206583481208
1991,2,0.20939813153663173
2001,2,0.22913328273031403
2010,2,0.32597462955875117
2022,2,0.4131451478202773
1991,3,0.25515773231226424
2001,3,0.3389180434078393
2010,3,0.41615624495272646
2022,3,0.4793258062773486
1991,4,0.21273446911030805
2001,4,0.2659191686946655
2010,4,0.3151265450264862
2022,4,0.3449213695084772
1991,5,0.23146198306375734
2001,5,0.2711784799316823
2010,5,0.3430106967181116
2022,5,0.4126040683203159
1991,6,0.19746698354441805
2001,6,0.19804568824491703
2010,6,0.270797590073016
2022,6,0.3527088745495684
1991,7,0.16465247804732847
2001,7,0.19766844283357227
2010,7,0.2841451591129438
2022,7,0.33972738265362207
1991,8,0.09788106630211893
2001,8,0.12130747096694061
2010,8,0.21414335784482166
2022,8,0.2572427855342528
1991,9,0.1543321827648745
2001,9,0.1643677052184817
2010,9,0.24179130896539516
2022,9,0.29950713825595854
1991,10,0.17177160309631215
2001,10,0.18052531301034294
2010,10,0.2453582412575464
2022,10,0.308947596127846
1991,11,0.17440789278178956
2001,11,0.16958326610241592
2010,11,0.2307864539602575
2022,11,0.2917870549425549
1991,12,0.17564528380572228
2001,12,0.16883968138616964
2010,12,0.23790851337415814
2022,12,0.339353286765046
1991,13,0.18371645340278564
2001,13,0.18400457690605468
2010,13,0.2691779595248045
2022,13,0.3511761146171438
1991,14,0.2052788790528431
2001,14,0.21683570411005507
2010,14,0.3101206785984959
2022,14,0.404218173847009
1991,15,0.21802043363690998
2001,15,0.2276365277568828
2010,15,0.2880011039812323
2022,15,0.3654662301442949
