anio,cod_comuna,comuna,mujeres_14_49,mujeres_con_hijos,prop_mujeres_con_hijos
1991,2007,Comuna 1,46092,20590,0.44671526512193005
2001,2007,Comuna 1,47815,22481,0.4701662658161665
2010,2007,Comuna 1,53526,24535,0.4583753689795613
2022,2007,Comuna 1,62985,27582,0.4379137889973803
1991,2014,Comuna 2,52783,20418,0.38682909270030125
2001,2014,Comuna 2,46625,15823,0.33936729222520107
2010,2014,Comuna 2,43634,13027,0.2985515882110281
2022,2014,Comuna 2,46898,13004,0.2772826133310589
1991,2021,Comuna 3,50307,23530,0.46772814916413225
2001,2021,Comuna 3,51555,24144,0.46831539132964795
2010,2021,Comuna 3,50481,22420,0.4441274935124106
2022,2021,Comuna 3,54046,22106,0.4090219442696962
1991,2028,Comuna 4,50327,28333,0.5629781230750889
2001,2028,Comuna 4,52556,29492,0.5611538168810412
2010,2028,Comuna 4,57910,32357,0.5587463305128648
2022,2028,Comuna 4,61790,33416,0.5407994821168474
1991,2035,Comuna 5,48545,24081,0.49605520650942425
2001,2035,Comuna 5,47367,22217,0.4690396267443579
2010,2035,Comuna 5,47385,20507,0.4327740846259365
2022,2035,Comuna 5,52973,20646,0.38974571951749004
1991,2042,Comuna 6,46827,23452,0.5008221752407799
2001,2042,Comuna 6,46241,20966,0.45340714949936206
2010,2042,Comuna 6,46108,19521,0.42337555304936236
2022,2042,Comuna 6,53434,21126,0.3953662462102781
1991,2049,Comuna 7,52802,28214,0.5343358206128556
2001,2049,Comuna 7,57166,30544,0.5343036070391491
2010,2049,Comuna 7,56840,30265,0.5324595355383532
2022,2049,Comuna 7,54920,25571,0.46560451565914057
1991,2056,Comuna 8,39974,22985,0.5749987491869716
2001,2056,Comuna 8,43842,25995,0.5929245928561653
2010,2056,Comuna 8,51178,31677,0.6189573644925553
2022,2056,Comuna 8,56788,33977,0.5983130238782841
1991,2063,Comuna 9,38218,21239,0.5557329007274059
2001,2063,Comuna 9,39119,20807,0.5318898744855441
2010,2063,Comuna 9,40156,22189,0.5525699770893515
2022,2063,Comuna 9,42277,21472,0.5078884499846252
1991,2070,Comuna 10,41162,22333,0.5425635294689276
2001,2070,Comuna 10,43039,22072,0.5128371941727271
2010,2070,Comuna 10,41241,20852,0.5056133459421449
2022,2070,Comuna 10,42913,20023,0.46659520425046025
1991,2077,Comuna 11,51784,27669,0.5343156187239302
2001,2077,Comuna 11,49592,24910,0.5022987578641717
2010,2077,Comuna 11,47256,23135,0.48956746233282544
2022,2077,Comuna 11,50851,22749,0.44736583351359854
1991,2084,Comuna 12,51034,27361,0.5361327742289455
2001,2084,Comuna 12,51189,25238,0.49303561312000627
2010,2084,Comuna 12,51275,24165,0.471282301316431
2022,2084,Comuna 12,63032,25828,0.40976012184287347
1991,2091,Comuna 13,67335,32259,0.47908220093562043
2001,2091,Comuna 13,62976,27011,0.4289094258130081
2010,2091,Comuna 13,60348,24617,0.40791741234175116
2022,2091,Comuna 13,68837,25573,0.37150079172538025
1991,2098,Comuna 14,71344,31777,0.44540535994617625
2001,2098,Comuna 14,63309,25548,0.4035445197365303
2010,2098,Comuna 14,61888,21559,0.3483550930713547
2022,2098,Comuna 14,70172,21583,0.30757282106823236
1991,2105,Comuna 15,47736,25073,0.5252430031841796
2001,2105,Comuna 15,47912,23885,0.49851811654700284
2010,2105,Comuna 15,48065,22718,0.4726516176011651
2022,2105,Comuna 15,53679,21571,0.4018517483559679
