year,avg_age
1990,28.23
1991,28.52
1992,28.48
1993,28.53
1994,28.3
1995,28.57
1996,28.57
1997,28.6
1998,28.48
1999,28.66
2000,28.42
2001,28.4
2002,28.5
2003,29.1
2004,29.2
2005,29.7
2006,29.3
2007,29.3
2008,29.6803852522921
2009,29.6509251376868
2010,29.7689764781999
2011,29.8464537185544
2012,29.8619043363866
2013,30.2729260172661
2014,30.3724854427159
2015,30.6127008303757
2016,30.8740518134977
2017,31.0019174987422
2018,31.2709825323191
2019,31.8004854108216
2020,32.6834222727558
2021,32.44527141
2022,32.558
2023,32.3876118167758
2024,32.5396134855382
