"anio";"Quintil 1";"Quintil 2";"Quintil 3";"Quintil 4";"Quintil 5";"Total"
2012;30,3796008895408;41,4203096771224;41,0451862294491;41,4050771133518;44,0963658718032;38,6738986115138
2013;29,6381090313145;41,9107151659344;40,7006692948572;42,5301709685058;45,8170252339954;38,9582867844197
2014;29,1348676683916;41,9320961261561;41,8347803705943;41,9807237955365;46,3765683248262;38,8371756876818
2015;28,275962256652;40,6754256405385;39,7379616209339;40,7008929588373;46,7545158192961;37,7737595460298
2016;29,0059466262928;39,8738209508982;40,0953041956717;40,5613224993423;46,0678102035635;37,7583398527612
2017;28,5085555850448;40,1331521486067;40,5042634250978;42,4597438054946;45,7871197564007;38,0084486662073
2018;29,9413319668798;39,2909107884224;39,5867097202733;42,0936959081514;45,5790938134943;38,0820702764728
2019;29,3074535593358;39,9706619094716;41,0505275116551;41,5184689776924;46,7083147077258;38,265230406873
2020;29,7473045822102;43,8256679069498;39,3690070471349;39,2830976433481;47,029215448519;38,5880051928978
2021;30,0189255202999;40,2687067587501;41,856753626785;40,9667582236066;45,6584440594035;38,4452269991163
2022;30,9669240923789;40,7753953024137;39,3854029215376;42,2104192782908;45,0253517478483;38,5530287688445
2023;31,6323997648217;39,903261827799;39,7659895699307;42,2298402789819;45,2201485892243;38,7777187782804
2024;31,0326625686697;41,4637883419613;40,9509904850504;41,9920551707035;43,2230326434357;38,9247175762135
